Tempo, Velocidade
0.026000, 78.201363
0.052000, 0.939919
0.078000, 2.067832
0.104000, 1.879839
0.130000, 2.067823
0.156000, 3.383710
0.182000, 1.879839
0.208000, 3.383719
0.234000, 2.631774
0.260000, 2.443790
0.286000, 3.195726
0.312000, 2.631783
0.338000, 2.631774
0.364000, 3.195726
0.390000, 2.819758
0.416000, 2.631783
0.442000, 2.631774
0.468000, 2.819758
0.494000, 2.631774
0.520000, 2.819777
0.546000, 3.195726
0.572000, 3.007742
0.598000, 2.631774
0.624000, 3.195735
0.650000, 2.819758
0.676000, 3.195726
0.702000, 3.007742
0.728000, 2.819767
0.754000, 3.195726
0.780000, 3.383710
0.806000, 3.007742
0.832000, 3.007760
0.858000, 2.631774
0.884000, 2.631774
0.910000, 3.007742
0.936000, 2.819758
0.962000, 3.007742
0.988000, 3.195726
1.014000, 3.195726
1.040000, 3.195744
1.067000, 2.534301
1.093000, 2.631774
1.119000, 0.000000
1.145000, 0.000000
1.171000, 0.000000
1.197000, 0.000000
1.223000, 0.000000
1.249000, 0.000000
1.275000, 0.000000
1.301000, -0.187984
1.327000, 0.000000
1.353000, -192.119710
1.379000, 0.000000
1.405000, 0.000000
1.431000, 0.000000
1.457000, 0.000000
1.483000, 1.503872
1.509000, 2.631777
1.536000, 2.896347
1.562000, 2.631777
1.588000, 2.443793
1.614000, 2.819760
1.640000, 3.007746
1.666000, 2.255810
1.692000, 2.631774
1.718000, 2.443793
1.744000, 3.007744
1.770000, 2.255809
1.796000, 2.631779
1.822000, 2.819760
1.848000, 2.819760
1.874000, 2.255811
1.900000, 2.631774
1.926000, 2.443790
1.952000, 3.007747
1.978000, 2.631779
2.004000, 2.067823
2.030000, 3.007742
2.056000, 1.879843
2.082000, 3.195726
2.108000, 2.255816
2.134000, 3.007742
2.160000, 2.631779
2.186000, 3.383710
2.212000, 1.691855
2.238000, 3.383714
2.264000, 2.631774
2.290000, 2.631783
2.316000, 2.443790
2.342000, 3.007742
2.368000, 3.759677
2.394000, 2.067832
2.420000, 2.819758
2.446000, 3.007742
2.472000, 3.195735
2.498000, 2.631774
2.524000, 3.007742
2.550000, 2.819758
2.576000, 2.819767
2.603000, 2.715323
2.629000, 2.819758
2.655000, 3.007742
2.681000, 3.007760
2.707000, 2.631774
2.733000, 3.007742
2.759000, 3.007742
2.785000, 3.007751
2.811000, 3.007742
2.837000, 3.007742
2.863000, 2.631774
2.889000, 3.383719
2.915000, 3.007742
2.941000, 3.195726
2.967000, 3.195726
2.993000, 2.631793
3.019000, 2.819758
3.045000, 3.007742
3.072000, 2.715323
3.098000, 2.631774
3.124000, 3.195726
3.150000, 3.195726
3.176000, 3.195726
3.202000, 3.195744
3.228000, 2.443790
3.254000, 3.195726
3.280000, 0.000000
3.306000, 0.000000
3.332000, 0.000000
3.358000, 0.000000
3.384000, 0.000000
3.410000, 0.000000
3.436000, 0.000000
3.462000, 0.000000
3.488000, 0.000000
3.514000, -192.307690
3.540000, 0.000000
3.566000, 0.000000
3.592000, 0.000000
3.618000, 0.000000
3.644000, 0.939920
3.670000, 3.007745
3.696000, 2.631777
3.722000, 2.819761
3.748000, 2.819760
3.774000, 2.631777
3.800000, 3.007746
3.826000, 2.255808
3.852000, 2.443793
3.878000, 2.631777
3.904000, 3.007744
3.930000, 2.067825
3.956000, 3.007747
3.982000, 2.819760
4.008000, 2.819760
4.034000, 2.067827
4.060000, 2.631774
4.086000, 2.631774
4.112000, 3.007747
4.139000, 2.353284
4.165000, 2.255806
4.191000, 2.819758
4.217000, 2.067827
4.243000, 3.007742
4.269000, 2.443799
4.295000, 2.819758
4.321000, 2.819763
4.347000, 3.007742
4.373000, 1.691855
4.399000, 3.195730
4.425000, 3.007742
4.451000, 2.819767
4.477000, 2.443790
4.503000, 3.007742
4.529000, 3.571694
4.555000, 2.255816
4.581000, 2.819758
4.608000, 3.077366
4.634000, 3.195735
4.660000, 2.443790
4.686000, 3.007742
4.712000, 2.819758
